职位id,工作年限,学历,薪水,城市
4708848,3-5年,本科,15k-30k,上海
5109658,1-3年,大专,4k-8k,沈阳
3834570,1-3年,本科,15k-25k,广州
5143844,3-5年,本科,15k-30k,北京
5368766,3-5年,不限,10k-20k,北京
5246559,1-3年,不限,15k-25k,广州
5345898,3-5年,不限,20k-35k,杭州
4338326,3-5年,本科,15k-25k,上海
5210408,5-10年,本科,35K-70K,北京
5203087,3-5年,本科,10k-20k,上海
4384279,3-5年,本科,15k-30k,北京
4974646,3-5年,本科,15k-20k,杭州
4560873,1-3年,本科,20k-40k,北京
5015500,1年以下,大专,2k-3k,广州
4918256,3-5年,大专,15k-30k,上海
5304455,3-5年,本科,25k-50k,北京
5306126,3-5年,本科,10k-20k,杭州
4406177,1-3年,本科,8k-15k,广州
5216856,1-3年,本科,10k-15k,深圳
4953702,3-5年,本科,12k-20k,广州
5258732,1-3年,本科,10k-20k,上海
4434420,1-3年,本科,10k-20k,武汉
5310894,1-3年,大专,6k-12k,长沙
4868338,1-3年,本科,14k-25k,广州
4753262,3-5年,本科,15k-25k,北京
5210042,不限,本科,2k-4k,广州
5080833,3-5年,本科,15k-25k,北京
3736163,应届毕业生,本科,8k-12k,深圳
4680296,3-5年,本科,16k-32k,上海
4386907,3-5年,本科,15k-25k,上海
3732775,3-5年,大专,10k-20k,北京
2982403,应届毕业生,本科,4k-8k,北京
5370523,1-3年,大专,10k-15k,上海
4766543,3-5年,本科,10k-15k,北京
4671470,1-3年,本科,15k-30k,北京
2530070,3-5年,本科,20k-35k,北京
4333259,1-3年,本科,10k-20k,北京
4638230,5-10年,本科,20k-30k,北京
4808655,3-5年,本科,10k-15k,成都
5308893,1-3年,本科,8k-15k,北京
4240520,不限,本科,15k-30k,北京
5059236,不限,大专,4k-8k,上海
4786432,1-3年,硕士,15k-30k,深圳
4893554,3-5年,本科,15k-30k,上海
4637968,5-10年,本科,30k-45k,北京
4962494,不限,本科,2k-3k,成都
5358001,1-3年,本科,15k-25k,北京
5356605,3-5年,本科,17k-22k,北京
5332654,1-3年,本科,9k-14k,深圳
4699892,1-3年,本科,15k-30k,北京
5179942,应届毕业生,本科,7k-12k,北京
5074128,3-5年,本科,12k-18k,深圳
5287310,应届毕业生,本科,7k-12k,北京
5272058,1-3年,本科,7k-14k,广州
4278389,3-5年,本科,15k-25k,上海
4064292,3-5年,本科,25k-50k,北京
4926959,应届毕业生,本科,2k-3k,杭州
2832556,1-3年,本科,15k-30k,上海
4898996,3-5年,本科,14k-28k,上海
5356500,应届毕业生,本科,1k-2k,北京
5364761,5-10年,本科,25k-30k,北京
5140050,3-5年,本科,25k-45k,北京
4894629,3-5年,本科,12k-24k,上海
4912478,3-5年,大专,18k-36k,上海
2311271,1-3年,本科,20k-40k,北京
4280212,3-5年,本科,15k-30k,深圳
3919848,1-3年,本科,12k-24k,北京
3973031,5-10年,本科,20k-40k,上海
3972799,5-10年,本科,20k-40k,北京
3827697,应届毕业生,本科,3k-6k,上海
4893585,3-5年,本科,15k-30k,上海
